a|يك(0.5)
metal|فلز(0.75),ماده(0.25),جسم(0.25),ماده مذاب(0.25),فلزي(0.75),سنگ ريزي كردن(0.25),فلزي كردن(0.25),با فلز پوشاندن(0.25)
method|روش(0.75),نوع(0.5),متد(0.5),اسلوب(0.25),راه(0.25),شيوه(0.5),طريقه(0.25),طرز(0.25),منوال(0.25),رويه(0.25),روند(0.25),رسم(0.25),سبك(0.25),سياق(0.25),طريق(0.25),طور(0.25),مسلك(0.25),عنوان(0.25),نحو(0.25)
methyl|متيل(0.75)
meticulous|خيلي دقيق(0.75),ترسو(0.5),باريك بين(0.5),وسواسي(0.5),كمرو(0.5)
metre|متر(0.75),كنتور(0.5),اندازه(0.5),مقياس(0.25),اندازه گير(0.5),وسيله اندازهگيري(0.25),مصرف سنج(0.25),وزن شعر(0.25),نظم(0.25),با متر اندازه گيري كردن(0.25),سنجيدن(0.25),اندازه گيري كردن(0.25),بصورت مسجع و مقفي در اوردن(0.25)
metropolitan|(0.75)
mexican|مكزيكي(0.75)
michael|مايكل(0.75)
microprocessor|ريز پردازنده(0.75)
mid|نيمه(0.5),مياني(0.5),وسطي(0.25),با(0.25),همراه با(0.25)
middle|متوسط(0.75),مياني(0.5),وسط(0.75),وسطي(0.5),بطرف وسط(0.25),ميانه(0.75),ميان(0.5),كمر(0.25),مركز(0.5)
midlanders|midlanders(0.75)
midst|قلب(0.75),دل(0.5),قسمت وسط(0.25),در ميان(0.5)
might|قدرت(0.75),زور(0.5),نيرو(0.5),انرژي(0.25),توان(0.75),توانايي(0.5),توش(0.5)
migrant|مهاجر(0.75)
migratory|جابجا شونده(0.5),مهاجرت كننده(0.5),وابسته به مهاجرت(0.5)
mile|مايل(0.75)
military|نظامي(0.75),ارتشي(0.5),جنگي(0.5),ارتش(0.75)
militia|مجاهدين(0.5),جنگجويان غير نظامي(0.5),نيروي نظامي(0.25),امنيه(0.25)
mill|كارخانه(0.75),ماشين(0.75),اسياب(0.5),اسياب كردن(0.25),كنگره دار كردن(0.25),عمل اسياب كردن(0.25)
million|ميليون(0.75),هزار در هزار(0.25)
mind|ذهن(0.75),خاطر(0.5),خيال(0.5),عقل(0.5),خرد(0.25),سامان(0.25),ضمير(0.25),مشعر(0.25),ياداوري كردن(0.25),تذكر دادن(0.25),مراقب بودن(0.25),مواظبت كردن(0.25),ملتفت بودن(0.25),اعتنا كردن به(0.25),تصميم داشتن(0.25),بخاطر اوردن(0.25),ذكر كردن(0.25)
mine|مين(0.5),كان(0.25),نقب(0.25),راه زير زميني(0.25),مال من(0.5),مرا(0.5),خودم(0.5),خودماني(0.25),معدن حفر كردن(0.25),استخراج كردن يا شدن(0.25),كندن(0.25)
minimise|به حداقل رساندن(0.75),كمينه كردن(0.5),كمينه ساختن(0.25),كوچك شمردن(0.25),دست كم گرفتن(0.25)
minimize|به حداقل رساندن(0.75),كمينه كردن(0.5),كمينه ساختن(0.25),كوچك شمردن(0.25),دست كم گرفتن(0.25)
minimum|كمينه(0.75),حد اقل(0.5),كهين(0.25),كمترين(0.5),دست كم(0.25)
minister|وزير(0.75),وزير مختار(0.25),كشيش كمك كردن(0.25),خدمت كردن(0.25),بخش كردن(0.25),پرستاري كردن(0.25),عبادت كردن(0.25)
ministerial|اداري(0.75),وابسته به وزير يا كشيش(0.25)
ministry|وزارت(0.75),وزارتخانه(0.75)
minor|صغير(0.75),خردسال(0.5),كوچكتر(0.5),خرد(0.5),اصغر(0.5),كمتر(0.5),پايين رتبه(0.25),محزون(0.25),صغري(0.25),كماد(0.25),خردسال(0.5),كهاد(0.25),شخص نابالغ(0.25),رشته فرعي(0.25)
minority|اقليت(0.75),بخش كمتر(0.25),كهين(0.25),عدم بلوغ(0.25)
minute|دقيقه(0.75),لحظه(0.75),دم(0.25),ان(0.25),پيش نويس(0.25),مسوده(0.25),يادداشت(0.25),گزارش وقايع(0.25),صورت جلسه نوشتن(0.25),پيش نويس كردن(0.25),بسيار خرد(0.25),ريز(0.25),جزئي(0.25),كوچك(0.25)
minutia|minutia(0.75)
mirror|اينه(0.5),ايينه(0.25),در اينه منعكس ساختن(0.25),بازتاب كردن(0.25),منعكس كردن(0.25)
misbehave|بي ادبي كردن(0.75),درست رفتار نكردن(0.5),بدرفتاري كردن(0.5)
miserable|تيره روز(0.5),بد بخت(0.5),تيره بخت(0.25),سياه بخت(0.25)
misguide|گمراه كردن(0.75),بد راهنمايي كردن(0.75)
misname|بنام اشتباهي صدا كردن(0.75),دشنام دادن(0.75)
miss|دوشيزه(0.75),خطا(0.5),از دست دادن(0.5),گم كردن(0.5),خطا كردن(0.5),نداشتن(0.5),فاقد بودن(0.5),اشتباه كردن(0.5),احساس فقدان چيزي را كردن(0.25)
missile|موشك(0.75),پرتابه(0.25),اسلحه پرتاب كردني(0.25),گلوله(0.25)
mistress|معشوقه(0.75),دلبر(0.5),يار(0.5),خانم(0.5),بانو(0.5),كدبانو(0.5)
mistrust|بدگماني(0.5),اطمينان نكردن به(0.5),ظن كردن(0.5)
misunderstood|اشتباه(0.75)
mitigate|تخفيف دادن(0.5),سبك كردن(0.5),تسكين دادن(0.5),خرد ساختن(0.25),خرد كردن(0.25)
mix|مخلوط(0.75),اختلاط(0.5),اميزه(0.25),مخلوط كردن(0.5),درهم كردن(0.25),اميختن(0.25),اشوردن(0.25),سرشتن(0.25),قاتي كردن(0.25),بهم زدن(0.25)
mm|ميلي متر(0.75)
mobility|تحرك(0.75),پويايي(0.5),جنبايي(0.25)
mobuto|mobuto(0.75)
moby|موبي(0.75)
model|مدل(0.75),نمونه(0.5),سرمشق(0.25),قالب(0.25),طرح(0.25),نقشه(0.25),پيكر(0.25),ساختن(0.25),شكل دادن(0.25),مطابق مدل معيني در اوردن(0.25),نمونه قرار دادن(0.25),طراحي كردن(0.25)
modern|مدرن(0.75),جديد(0.5),متاخر(0.25),نوين(0.5),امروزي(0.5),نو(0.5),كنوني(0.25)
modernise|نوين كردن(0.5),بطرز نويني دراوردن(0.5),بروش امروزي دراوردن(0.5)
modernized|مدرن(0.75)
modification|اصلاح(0.75),تعديل(0.5),تغيير و تبديل(0.25),پيرايش(0.25),تصرف(0.25)
modify|اصلاح كردن(0.5),تغيير دادن(0.5),پيراستن(0.25),تعديل كردن(0.25)
mohair|پارچه موهر(0.75),موي مرغوز(0.75)
moist|مرطوب(0.75),نمناك(0.5),نمدار(0.5),تر(0.5),گريان(0.25),پر از اب(0.25),مرطوب كردن(0.5)
moment|لحظه(0.75),دم(0.25),ان(0.25),زمان(0.5),موقع(0.5),هنگام(0.25),اهميت(0.25)
monarchy|سلطنت(0.75),سلطنت مطلقه(0.5),شهرياري(0.5),رژيم سلطنتي(0.5)
monday|دوشنبه(0.75)
money|پول(0.75),ثروت(0.25),اسكناس(0.25),سرمايه(0.25),سيم(0.25)
monies|پول ها(0.75),وجوهات(0.75)
monitor|مانيتور(0.75)
monitoring|نظارت(0.75)
monopolize|بخود انحصار دادن(0.5),امتياز انحصاري گرفتن(0.5)
monster|هيولا(0.75),اعجوبه(0.5),عفريت(0.5)
month|ماه(0.75),ماه شمسي(0.25),ماه قمري(0.25),برج(0.25)
moon|ماه(0.75)
moral|اخلاقي(0.75),معنوي(0.5),روحي(0.5),وابسته بعلم اخلاق(0.25),اخلاق(0.75),سيرت(0.25),روحيه(0.25),پند(0.25),معني(0.25)
moratorium|مهلت قانوني(0.75),استمهال(0.25),مهلت(0.5)
more|بيشتر(0.75),بيش(0.75),بعلاوه(0.25),زيادتر(0.25)
moreover|علاوه بر اين(0.75),بعلاوه(0.5)
morning|صبح(0.75),بامداد(0.5)
moscow|مسكو(0.75)
moses|حضرت موسي(0.75)
moss|خزه(0.75),پژه(0.5),ابهام(0.5),سياه اب(0.5),با خزه پوشاندن(0.5)
most|بيشترين(0.75),زيادترين(0.25),بيش از همه(0.25),مقدار زياد(0.25)
mother|مادر(0.75),مام(0.5),ننه(0.25),والده(0.25),اصل(0.25),سر چشمه(0.25),مادري كردن(0.25),پروردن(0.25)
motif|موتيف(0.75),مايه اصلي(0.5),شكل عمده(0.5),موضوع(0.25),اصل(0.5)
motion|حركت(0.75),جنبش(0.5),پيشنهاد(0.5),تكان(0.5),ژست(0.25),جنب وجوش(0.25),سير(0.25),پيشنهاد كردن(0.25),اشاره كردن(0.25)
motivate|ايجاد انگيزه(0.75),انگيختن(0.5),تحريك كردن(0.25),تهييج كردن(0.25)
motor|موتور(0.75),اتومبيل(0.5),ماشين(0.25),محرك(0.25),منبع نيروي مكانيكي(0.25),حركت دهنده(0.25),اتومبيل راندن(0.25),محرك(0.25)
motoring|خودر با موتور(0.75)
mount|كوه(0.75),پايه(0.5),صعود(0.5),تپه(0.5),ترفيع(0.25),مقواي عكس(0.25),قاب عكس(0.25),مركوب(0.25),سوار شدن(0.75),سوار كردن(0.5),سوار شدن بر(0.25),بلند شدن(0.25),زياد شدن(0.25),بالغ شدن بر(0.25),صعود كردن(0.25),نصب كردن(0.25),سوار شدن يا كردن(0.25),قرار دادن(0.25)
mountain|كوه(0.75),كوهستان(0.75),كوهستاني(0.75)
mountains|كوه(0.75)
mouse|ماوس(0.75),موش(0.75),موش خانگي(0.25),موش گرفتن(0.25),جستجو كردن(0.25)
mouth|دهان(0.75),دهانه(0.5),مدخل(0.25),بيان(0.25),غنچه(0.25),گفتن(0.25),دهنه زدن(0.25),در دهان گذاشتن(0.25),ادا و اصول در اوردن(0.25),فرمودن(0.25)
move|حركت(0.75),اقدام(0.5),نقل مكان(0.5),تكان(0.5),جنبش(0.25),نوبت حركت يابازي(0.25),تغيير مكان(0.25),حركت دادن(0.5),جنبيدن(0.25),تكان دادن(0.25),حركت كردن(0.25),بجنبش دراوردن(0.25),بازي كردن(0.25),بحركت انداختن(0.25),وادار كردن(0.25),تحريك كردن(0.25),سير كردن(0.25),متاثر ساختن(0.25)
movement|حركت(0.75),جنبش(0.75),نهضت(0.75),حركت سريع(0.25),سير(0.25),تكان(0.25),تغيير مكان(0.25),گردش(0.25),وزن(0.25),ژست(0.25)
movie|سينما(0.5),فيلم سينما(0.25)
moving|متحرك(0.75),محرك(0.25),سيار(0.25),ساير(0.25)
mozart|موتزارت(0.75)
mp|MP(0.75)
mph|مايل در ساعت(0.75)
mr|اقاي(0.75)
much|بسيار(0.75),خيلي(0.75),زياد(0.5),تقريبا(0.25),بفراوانيدور(0.25),بسي(0.25),بمقدار زياد(0.25),كاملا رشد كرده(0.25)
muddy|پر از گل(0.75),گلي(0.75),چركين(0.5),تيره(0.5),گل الود(0.5),گلي كردن(0.5)
multi|چند(0.75)
multilateral|چند جانبه(0.75),چند بر(0.25),چند پهلو(0.25),كثير الاضلاع(0.25)
mural|ديواري(0.75),واقع بر روي ديوار(0.5),ديوار نما(0.75)
murder|قتل(0.75),كشتار(0.75),ادمكشي(0.25),كشتن(0.75),بقتل رساندن(0.25)
music|داراي اهنگ(0.25),موزيكال(0.25),موسقي دار(0.25),موسيقي(0.75),موزيك(0.5),اهنگ(0.25),رامشگري(0.25),خنيا(0.25),ساز(0.25),غنا(0.25)
musician|نوازنده(0.75),خنياگر(0.25),موسيقي دان(0.5),ساقي(0.25),نغمه پرداز(0.25),ساز زن(0.25)
musket|شاهين كوچك نر(0.75),تفنگ فتيلهاي(0.75)
must|بايد(0.75),بايست(0.5),ميبايستي(0.25),لابد شدن(0.25),فرض(0.25)
mustard|خردل(0.75),درخت خردل(0.25)
mutual|متقابل(0.75),دو جانبه(0.5),دو طرفه(0.5),دوسره(0.25),از دو سره(0.25),بين الاثنين(0.25)
mutually|متقابلا(0.75)
my|من(0.75)
myself|خودم(0.75),من خودم(0.5),شخص خودم(0.25)
mystification|گيج سازي(0.75),مشكل وپيچيده سازي(0.75)
myth|اسطوره(0.75),افسانه(0.75)
mythical|اسطورهاي(0.5),افسانه اميز(0.25)
n|N(0.75)
nail|ناخن(0.75),چنگال(0.25),ميخ(0.5),چنگ(0.25),سم(0.25),ميخ سرپهن(0.25),گل ميخ(0.25),ميخ سرپهن زدن(0.25),ميخ زدن(0.25),با ميخ كوبيدن(0.25),با ميخ الصاق كردن(0.25),بدام انداختن(0.25),قاپيدن(0.25),گرفتن(0.25),زدن(0.25),كوبيدن(0.25)
nalgo|nalgo(0.75)
name|نام(0.75),اسم(0.5),نام و شهرت(0.25),نام خودماني(0.25),تسميه(0.25),خوشنامي(0.25),اب رو(0.25),ناميدن(0.25),بنام صدا كردن(0.25),نام دادن(0.25),خواندن(0.25)
nansen|nansen(0.75)
narcissi|نرگس(0.75)
narrow|باريك(0.75),محدود(0.75),تنگ(0.75),دراز و باريك(0.25),كوته فكر(0.25),ضيق(0.25),محدود كردن(0.75),باريك كردن(0.25),باريك شدن(0.25),خرد ساختن(0.25),خرد شدن(0.25),خرد كردن(0.25),كم پهنا(0.25)
narrowly|دقت(0.75)
nasa|ناسا(0.75)
nation|ملت(0.75),كشور(0.75),قوم(0.5),امت(0.5),طايفه(0.25),خلق(0.25)
national|ملي(0.75),قومي(0.25),وابسته به قوم ياملتي(0.25),تبعه(0.25),شهروند(0.25)
nationalism|ناسيوناليزم(0.75),ملت پرستي(0.25),ملت گرايي(0.25)
nationalist|ملي(0.75)
nationality|مليت(0.75),تابعيت(0.75)
native|بومي(0.75),محلي(0.5),اهلي(0.25),تني(0.25),بچه(0.25)
nato|ناتو(0.75)
natural|طبيعي(0.75),قهري(0.25),ساده(0.25),سرشتي(0.25),عادي(0.25),نهادي(0.25),ذاتي(0.25),فطري(0.25),جبلي(0.25),بديهي(0.25),استعداد ذاتي(0.25),ديوانه(0.25),خلقي(0.25),غريزي(0.25),احمق(0.25)
naturally|به طور طبيعي(0.75)
nature|طبيعت(0.75),سرشت(0.5),ماهيت(0.75),ذات(0.5),نوع(0.5),گونه(0.25),فطرت(0.5),روح(0.25),سيرت(0.25),مشرب(0.25),طبع(0.25),گوهر(0.25),نهاد(0.25),افرينش(0.25),خاصيت(0.25),خميره(0.25),خو(0.25),خيم(0.25),غريزه(0.25),منش(0.25),خوي(0.25)
navy|نيروي دريايي(0.75),كشتي جنگي(0.5),ناوگان(0.5),بحريه(0.5)
near|صميمي(0.25),نزديك(0.75),قريب(0.25),نزد(0.25),سر(0.25),تقريبا(0.5),پيش(0.25),نزديك شدن(0.25)
nearer|نزديكتر(0.75)
nearly|تقريبا(0.75),تاحدي(0.25),مستقيما(0.25)
neat|شسته و رفته(0.75),مرتب(0.5),تميز(0.5),پاكيزه(0.5),گاو(0.25)
neatly|منظمي(0.75)
necessary|لازم(0.75),ضروري(0.75),واجب(0.5),بايسته(0.25),بايا(0.25),دروار(0.25)
necessity|ضرورت(0.75),لزوم(0.75),نياز(0.5),بايستگي(0.25),نيازمندي(0.25),احتياج(0.5)
neck|گردن(0.75),گردنه(0.25),تنگه(0.25),ماچ و نوازش كردن(0.25)
need|نياز(0.75),لزوم(0.5),نيازمندي(0.5),بايستگي(0.25),احتياج(0.5),نيستي(0.25),حاجت(0.25),ايجاب(0.25),در احتياج داشتن(0.25),نيازمند بودن(0.25),نياز داشتن(0.25),محتاج بودن(0.25)
needle|سوزن(0.75),عقربه(0.5),سوزن سرنگ و گرامافون و غيره(0.25),سوزن دوزي كردن(0.25),با سوزن تزريق كردن(0.25),طعنه زدن(0.25),اذيت كردن(0.25)
needn|needn(0.75)
negate|خنثي كردن(0.5),نفي كردن(0.5),خنثي نمودن(0.5),منفي كردن(0.5),بلا اثر كردن(0.5)
neglect|غفلت(0.75),اهمال(0.5),فروگذاري(0.25),سرسري(0.25),غفلت كردن(0.5),مسامحه كردن(0.25),فروگذار كردن(0.25)
neglecting|غفلت(0.75)
negotiate|مذاكره كردن(0.5),گفتگو كردن(0.25),به پول نقد تبديل كردن(0.25),تبادل نظر كردن(0.25)
negotiation|مذاكره(0.75)
neighbour|همسايه(0.75),اهل محل(0.25),مجاور(0.5),نزديك(0.25),همسايه شدن با(0.25)
neighbourhood|همسايگي(0.5),مجاورت(0.5)
neighbouring|همسايه(0.75),اهل محل(0.25)
neill|نيل(0.75)
neither|هيچ يك(0.5),هيچيك از اين دو(0.25)
neon|گاز نئون(0.5),چراغ نئون(0.5),شبيه روشنائي نئون(0.25)
nerve|عصب(0.75),رشته عصبي(0.25),پي(0.25),وتر(0.25),قدرت(0.25),قوت قلب دادن(0.25),نيرو بخشيدن(0.25),نيرو دادن(0.25)
nervous|عصبي(0.75),عصبي مربوط به اعصاب(0.25),عصباني(0.25),متشنج(0.25),دست پاچه(0.25)
nervousness|عصبانيت(0.75),برافروختگي(0.5)
net|خالص(0.75),ويژه(0.5),خرج دررفته(0.25),اساسي(0.25),اصلي(0.25),شبكه(0.75),تور(0.5),توري(0.5),دام(0.25),تور ماهي گيري و امثال ان(0.25),عمده(0.25),تار عنكبوت(0.25),بدام افكندن(0.25),با تور گرفتن(0.25),شبكه دار كردن(0.25),بتور انداختن(0.25)
netherlands|هلند(0.75)
network|شبكه(0.75),شبكه توري(0.25),شبكه ارتباطي(0.25)
never|هرگز(0.75),هيچگاه(0.5),هيچ وقت(0.5),هيچ(0.5),ابدا(0.25),حاشا(0.25)
nevermore|هرگز ديگر(0.75),ديگر ابدا(0.75)
nevertheless|با اين وجود(0.75),معهذا(0.5),با اينحال(0.5),عليرغم(0.5),هنوز(0.5),با اينحال(0.5),باز(0.5),ضمنا(0.25)
new|جديد(0.75),تازه(0.75),نو(0.5),نوين(0.5),اخيرا(0.25),جديدا(0.25)
newcastle|نيوكاسل(0.75)
newly|اخيرا(0.5),بتازگي(0.25)
news|اخبار(0.75),خبر(0.75),اوازه(0.25)
newspaper|روزنامه(0.75),طبع روزنامه(0.25)
next|بعد(0.75),كنار(0.5),زيرين(0.25),ديگر(0.25),اينده(0.25),پهلويي(0.25),جنبي(0.25),مجاور(0.25),نزديك ترين(0.25),مابعد(0.25),جنب(0.5),سپس(0.5)
nh|NH(0.75)
nicaea|nicaea(0.75)
nicely|ظريفانه(0.5)
niche|طاقچه(0.75),تو رفتگي در ديوار(0.75),توي ديوار گذاشتن(0.25)
nigeria|نيجريه(0.75)
niggling|اندك(0.75),ايراد گير(0.75)
night|شب(0.75),غروب(0.25),شب هنگام(0.25),برنامه شبانه(0.25),تاريكي(0.25),خادم حبش(0.25),ليل(0.25),نزديك بوقت خواب(0.25),نزديك بوقت خواب(0.25)
nineteenth|نوزدهمين(0.75)
nixon|نيكسون(0.75)
nm|نانومتر(0.75)
nme|عمومي بحث و گفتگو(0.75)
